batch_id,test,map50,map50_95,precision,recall,matched_classes,AP_per_class,std_recall,std_precision,std_dev_50,std_dev_95,image_count,p_stat_map50,p_stat_recall,p_stat_precision
424011219,0,0.0939894484322295,0.0707143787765262,0.4734576091645235,0.1339031339031339,"[0, 1, 2, 3, 5, 6, 7, 8]","[[0.03415449297834768, 0.03415449297834768, 0.03415449297834768, 0.03415449297834768, 0.03415449297834768, 0.03415449297834768, 0.03141197474539624, 0.025050003065621527, 0.015952738801713842, 0.0], [0.2208535783609713, 0.2208535783609713, 0.2208535783609713, 0.2011159269547682, 0.19483265722433277, 0.188884203584202, 0.1832608980925586, 0.16404441692691912, 0.09521232234559487, 0.016484498724597733], [0.08447575526783449, 0.08447575526783449, 0.08447575526783449, 0.08447575526783449, 0.061711940424811706, 0.061711940424811706, 0.061711940424811706, 0.061711940424811706, 0.061711940424811706, 0.026402640264026403], [0.16766919635893965, 0.16766919635893965, 0.16766919635893965, 0.16766919635893965, 0.12668500326789514, 0.06419030368853605, 0.06067704913727448, 0.05717187103325718, 0.027240416349327244, 0.021452145214521455], [0.0012376237623762376, 0.0012376237623762376, 0.0012376237623762376, 0.0012376237623762376, 0.0012376237623762376, 0.0012376237623762376, 0.0012376237623762376, 0.0012376237623762376, 0.0, 0.0], [0.04620462046204621, 0.04620462046204621, 0.04620462046204621, 0.04620462046204621, 0.039603960396039604, 0.039603960396039604, 0.039603960396039604, 0.039603960396039604, 0.0297029702970297, 0.0], [0.12039119878374392, 0.12039119878374392, 0.12039119878374392, 0.12039119878374392, 0.12039119878374392, 0.12039119878374392, 0.11136937223134077, 0.11136937223134077, 0.06048926321203549, 0.0], [0.07692912148357693, 0.07692912148357693, 0.07692912148357693, 0.06135077793493636, 0.06135077793493636, 0.06135077793493636, 0.06135077793493636, 0.06135077793493636, 0.0431989627534182, 0.0033003300330033004]]",0.2265434356257072,0.2753366911157754,0.2271511278811324,0.1950355836890227,201,1.0,1.0,1.0
424011300,1,0.1326752065406665,0.1020164698993054,0.5208866236043325,0.1694915254237288,"[0, 1, 2, 3, 5, 6, 7, 8]","[[0.058726686539278705, 0.058726686539278705, 0.058726686539278705, 0.058726686539278705, 0.05341487310918714, 0.05341487310918714, 0.048593706757692284, 0.036421005916781574, 0.026901440144014403, 0.0], [0.31543314601325034, 0.3051184338374081, 0.3051184338374081, 0.2753764808797389, 0.26153967091255914, 0.26153967091255914, 0.26153967091255914, 0.21261788857989217, 0.12045914844711877, 0.06828932893289329], [0.0906947837640907, 0.0906947837640907, 0.0906947837640907, 0.06429571528581429, 0.06429571528581429, 0.06429571528581429, 0.06429571528581429, 0.06429571528581429, 0.05934522023630935, 0.0], [0.14391643019929126, 0.14391643019929126, 0.13183889395949827, 0.13183889395949827, 0.09184928079772736, 0.08254125227793715, 0.07598455658373719, 0.07598455658373719, 0.053457759569060355, 0.0024752475247524753], [0.012871287128712872, 0.012871287128712872, 0.012871287128712872, 0.012871287128712872, 0.012871287128712872, 0.012871287128712872, 0.012871287128712872, 0.012871287128712872, 0.0049504950495049506, 0.0049504950495049506], [0.0594059405940594, 0.0594059405940594, 0.0594059405940594, 0.0594059405940594, 0.0594059405940594, 0.0594059405940594, 0.04455445544554456, 0.024752475247524754, 0.019801980198019802, 0.019801980198019802], [0.22883528580123008, 0.22883528580123008, 0.22883528580123008, 0.22883528580123008, 0.22883528580123008, 0.22883528580123008, 0.22883528580123008, 0.1841335741950339, 0.10863635669524152, 0.0009900990099009901], [0.15151809228541901, 0.14072653693940823, 0.14072653693940823, 0.14072653693940823, 0.14072653693940823, 0.14072653693940823, 0.14072653693940823, 0.13522441529867274, 0.12121569299787122, 0.007779349363507779]]",0.2386952998119631,0.2592498880052529,0.234223152737468,0.2002073285585672,201,0.09354952281355867,0.1260183045330304,0.07615618732060592
424011341,2,0.1073431996858741,0.079493432314609,0.564946320075944,0.1441717791411043,"[0, 1, 2, 3, 5, 6, 7, 8]","[[0.040256342707441474, 0.040256342707441474, 0.040256342707441474, 0.03840884088408841, 0.03840884088408841, 0.03840884088408841, 0.03840884088408841, 0.03604860486048605, 0.008577107710771078, 0.0], [0.31877053643746944, 0.31877053643746944, 0.3056325990126284, 0.3056325990126284, 0.3056325990126284, 0.3056325990126284, 0.27918605576640476, 0.24640136954700625, 0.14058749659526634, 0.04812981298129813], [0.0869086908690869, 0.04966996699669967, 0.04966996699669967, 0.03767876787678768, 0.03767876787678768, 0.03767876787678768, 0.03767876787678768, 0.03767876787678768, 0.03767876787678768, 0.0], [0.07423266596894099, 0.07423266596894099, 0.06158657661431778, 0.06158657661431778, 0.06158657661431778, 0.037739180264775705, 0.0333676904842187, 0.022531649449774697, 0.01627839254513687, 0.0], [0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.019801980198019802, 0.0], [0.06640735502121642, 0.06640735502121642, 0.06640735502121642, 0.06640735502121642, 0.06640735502121642, 0.0541018387553041, 0.04514380009429514, 0.026402640264026403, 0.026402640264026403, 0.0], [0.19438013958406014, 0.1767097884047582, 0.1767097884047582, 0.1767097884047582, 0.1767097884047582, 0.1767097884047582, 0.1767097884047582, 0.13301397311336619, 0.07283375396363165, 0.0], [0.051387226634751385, 0.051387226634751385, 0.051387226634751385, 0.051387226634751385, 0.051387226634751385, 0.051387226634751385, 0.051387226634751385, 0.0394044898995394, 0.03314232522153314, 0.00275027502750275]]",0.2292149942704409,0.2542027503334195,0.2334422594096466,0.1937785434632304,201,0.5614037304314174,0.6517045415014232,0.0005955508515826269
424011423,3,0.1276373398758276,0.0995787675841837,0.5288523653736305,0.1587786259541984,"[0, 1, 2, 3, 5, 6, 7, 8]","[[0.07214498453329654, 0.0659583031473879, 0.0659583031473879, 0.0659583031473879, 0.0659583031473879, 0.057396227427620815, 0.057396227427620815, 0.054015401540154016, 0.024752475247524754, 0.019801980198019802], [0.3684635229764646, 0.36075685599775353, 0.36075685599775353, 0.33117672933317066, 0.33117672933317066, 0.3180410280902508, 0.3180410280902508, 0.3105184276300774, 0.23465434319536765, 0.043082000507743086], [0.034515951595159515, 0.034515951595159515, 0.034515951595159515, 0.034515951595159515, 0.030115511551155116, 0.030115511551155116, 0.030115511551155116, 0.030115511551155116, 0.030115511551155116, 0.0012376237623762376], [0.16523237468674404, 0.16523237468674404, 0.1613132327725526, 0.11319385409494548, 0.08666891594773897, 0.07486197286151705, 0.05250686559339164, 0.04869148405523782, 0.03243846123742809, 0.004275427542754276], [0.01438000942951438, 0.01438000942951438, 0.01438000942951438, 0.01438000942951438, 0.01438000942951438, 0.01438000942951438, 0.01438000942951438, 0.0069542668552569535, 0.0069542668552569535, 0.0], [0.09525774005972026, 0.09525774005972026, 0.09525774005972026, 0.09525774005972026, 0.09525774005972026, 0.09525774005972026, 0.0690947666195191, 0.0599009900990099, 0.0599009900990099, 0.0297029702970297], [0.18550409220488612, 0.18550409220488612, 0.18550409220488612, 0.18550409220488612, 0.18550409220488612, 0.18550409220488612, 0.1765932011157772, 0.1765932011157772, 0.11308493129447669, 0.0033003300330033004], [0.0856000435208356, 0.0856000435208356, 0.0856000435208356, 0.0856000435208356, 0.0856000435208356, 0.0856000435208356, 0.0856000435208356, 0.0856000435208356, 0.0738881030960239, 0.0]]",0.2498061590204705,0.2781308140808051,0.2413302342665207,0.2045108887275,201,0.1508209644442459,0.29629269549337495,0.04545336432441748
424011505,4,0.1001372034530693,0.0688640405542046,0.4621319372594827,0.1447368421052631,"[0, 1, 2, 3, 5, 6, 7, 8]","[[0.12664476041030087, 0.12664476041030087, 0.12081593576959504, 0.12081593576959504, 0.10780060273767958, 0.10780060273767958, 0.10780060273767958, 0.10033758880654946, 0.0618306928797944, 0.019801980198019802], [0.2970090557160928, 0.2970090557160928, 0.2417782457992215, 0.2363426476648808, 0.2363426476648808, 0.18247623668072155, 0.1577932360573134, 0.1358843737115607, 0.07394695452916372, 0.01214214444700284], [0.03261611875473261, 0.03261611875473261, 0.03261611875473261, 0.03261611875473261, 0.02488748874887489, 0.02488748874887489, 0.01645164516451645, 0.013151315131513151, 0.005375537553755375, 0.0], [0.08227511395613757, 0.08227511395613757, 0.08227511395613757, 0.049351200245917964, 0.049351200245917964, 0.024094294587506605, 0.021049473976413238, 0.013472110992718975, 0.007573566032910299, 0.00055005500550055], [0.032673267326732675, 0.032673267326732675, 0.032673267326732675, 0.032673267326732675, 0.032673267326732675, 0.032673267326732675, 0.032673267326732675, 0.032673267326732675, 0.032673267326732675, 0.026402640264026403], [0.09526952695269528, 0.09526952695269528, 0.09526952695269528, 0.09526952695269528, 0.09526952695269528, 0.09526952695269528, 0.049151343705799155, 0.02901933050447902, 0.006600660066006601, 0.0], [0.06105610561056106, 0.06105610561056106, 0.06105610561056106, 0.06105610561056106, 0.06105610561056106, 0.056105610561056105, 0.056105610561056105, 0.056105610561056105, 0.036303630363036306, 0.019801980198019802], [0.0735536788973015, 0.0735536788973015, 0.0735536788973015, 0.0735536788973015, 0.0735536788973015, 0.039349733292656994, 0.039349733292656994, 0.0311959767405312, 0.021452145214521455, 0.0049504950495049506]]",0.1904886197783175,0.2280345920481837,0.187396194317857,0.1527430986834013,201,0.7673962584701791,0.6041007832816336,0.653575598056521
424011546,5,0.1217960329614814,0.0919944604569825,0.5175960735171261,0.1640866873065015,"[0, 1, 2, 3, 5, 6, 7, 8]","[[0.04864336550501219, 0.04864336550501219, 0.04864336550501219, 0.04601468158398851, 0.04191045359362191, 0.04191045359362191, 0.04191045359362191, 0.03393393393393393, 0.03393393393393393, 0.02033716885202034], [0.32287888654736857, 0.32287888654736857, 0.32287888654736857, 0.3154662323400732, 0.3154662323400732, 0.28399651914650903, 0.27759292964658944, 0.22095465278118703, 0.09953466198411626, 0.0009000900090009002], [0.11783786248695975, 0.11783786248695975, 0.07437247684044423, 0.07437247684044423, 0.032943752520048386, 0.024587583192708408, 0.024587583192708408, 0.024587583192708408, 0.024587583192708408, 0.0], [0.18800487191576304, 0.18800487191576304, 0.18800487191576304, 0.18800487191576304, 0.18290436186475792, 0.15801392639263928, 0.14471750746503223, 0.13956663523495208, 0.13152208077950653, 0.07326732673267326], [0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.026402640264026403, 0.019801980198019802, 0.019801980198019802], [0.0744931636020745, 0.0744931636020745, 0.0744931636020745, 0.0744931636020745, 0.0744931636020745, 0.0744931636020745, 0.0744931636020745, 0.0744931636020745, 0.04278642149929279, 0.0049504950495049506], [0.15078117055403017, 0.15078117055403017, 0.15078117055403017, 0.15078117055403017, 0.12717733958269778, 0.12717733958269778, 0.12057667951669115, 0.09635923676401253, 0.05169685035730463, 0.015499764262140498], [0.045326302816617065, 0.045326302816617065, 0.045326302816617065, 0.045326302816617065, 0.045326302816617065, 0.03033294012631077, 0.03033294012631077, 0.02688911748317689, 0.020215592987870214, 0.00288028802880288]]",0.2458488752986858,0.2802586548703726,0.2456244788019395,0.2092466240808007,201,0.23935759619618166,0.2012784417156528,0.11200041320793278
424011627,6,0.115637435088366,0.0929185919123074,0.5751411493356723,0.1570996978851963,"[0, 1, 2, 3, 5, 6, 7, 8]","[[0.047711539099766415, 0.047711539099766415, 0.047711539099766415, 0.047711539099766415, 0.047711539099766415, 0.04310152732356642, 0.03283444623532121, 0.03283444623532121, 0.02778417376621383, 0.0], [0.30696494999516544, 0.30696494999516544, 0.30696494999516544, 0.30696494999516544, 0.2989682970602917, 0.28526828598647225, 0.26698145338647716, 0.2583091392886661, 0.1735146222353101, 0.0391190434832957], [0.0968096809680968, 0.0968096809680968, 0.0968096809680968, 0.0968096809680968, 0.0968096809680968, 0.0968096809680968, 0.0968096809680968, 0.0968096809680968, 0.06765676567656766, 0.00825082508250825], [0.0934542394685212, 0.0934542394685212, 0.0934542394685212, 0.07177741269812882, 0.07177741269812882, 0.06343146547306988, 0.06343146547306988, 0.05994819859434582, 0.027175574700327172, 0.009900990099009901], [0.054455445544554455, 0.054455445544554455, 0.054455445544554455, 0.054455445544554455, 0.054455445544554455, 0.054455445544554455, 0.054455445544554455, 0.054455445544554455, 0.054455445544554455, 0.0121012101210121], [0.07920792079207921, 0.07920792079207921, 0.07920792079207921, 0.07920792079207921, 0.07920792079207921, 0.07920792079207921, 0.066006600660066, 0.037128712871287134, 0.0297029702970297, 0.0049504950495049506], [0.1567880527548553, 0.1567880527548553, 0.1567880527548553, 0.1567880527548553, 0.13776203250577157, 0.13776203250577157, 0.11117985748154648, 0.09710502562861328, 0.03896522005141691, 0.00592765158868828], [0.08970765208388971, 0.08970765208388971, 0.08970765208388971, 0.08970765208388971, 0.08970765208388971, 0.08970765208388971, 0.08970765208388971, 0.07191274072462192, 0.03541190657527291, 0.0037953795379537954]]",0.2262646541684159,0.252479817087823,0.2257397223381508,0.1953284355225725,201,0.3384532569569393,0.3049832896356752,0.00013269636782134843
424011709,7,0.1155369221765082,0.0859295847028739,0.4514540593135979,0.1456456456456456,"[0, 1, 2, 3, 5, 6, 7, 8]","[[0.026929448975244887, 0.026929448975244887, 0.026929448975244887, 0.026929448975244887, 0.026929448975244887, 0.026929448975244887, 0.026929448975244887, 0.026929448975244887, 0.019700192044856853, 0.0014144271570014143], [0.4099429544800831, 0.4018335111990994, 0.4018335111990994, 0.3916000491701063, 0.3916000491701063, 0.3916000491701063, 0.3916000491701063, 0.26505268767250445, 0.23859030946704404, 0.034457017130284456], [0.1015195967254331, 0.0836547795901626, 0.07225220208544857, 0.05135718314457241, 0.05135718314457241, 0.05135718314457241, 0.05135718314457241, 0.04394885121826237, 0.03885805873820465, 0.0019801980198019802], [0.15929405464491073, 0.15929405464491073, 0.15929405464491073, 0.15929405464491073, 0.13780617749278162, 0.1064452611429071, 0.054513429251744044, 0.033962995489832386, 0.008421996045758422, 0.0008250825082508251], [0.02178217821782178, 0.02178217821782178, 0.02178217821782178, 0.02178217821782178, 0.02178217821782178, 0.02178217821782178, 0.02178217821782178, 0.02178217821782178, 0.02178217821782178, 0.019801980198019802], [0.06155115511551156, 0.06155115511551156, 0.06155115511551156, 0.06155115511551156, 0.06155115511551156, 0.06155115511551156, 0.0297029702970297, 0.0297029702970297, 0.0, 0.0], [0.09730710665051467, 0.09730710665051467, 0.09730710665051467, 0.09730710665051467, 0.09730710665051467, 0.09730710665051467, 0.08019490208130126, 0.06835920434148678, 0.03429342934293429, 0.0037803780378037805], [0.045968882602545974, 0.045968882602545974, 0.045968882602545974, 0.045968882602545974, 0.045968882602545974, 0.045968882602545974, 0.045968882602545974, 0.027345591702027345, 0.027345591702027345, 0.0014144271570014143]]",0.2160821626961673,0.2367807449040388,0.2200369687810088,0.179869984891506,201,0.334642217142349,0.5951869382205414,0.39083787955436844
424010535,8,0.1187381105826946,0.088739537153523,0.5028500049098157,0.1563421828908554,"[0, 1, 2, 3, 5, 6, 7, 8]","[[0.07849062405701893, 0.07849062405701893, 0.07849062405701893, 0.07012606049443557, 0.07012606049443557, 0.07012606049443557, 0.07012606049443557, 0.06389170079472933, 0.04730342081827231, 0.0015617633191890618], [0.3765221151510257, 0.36185736373940536, 0.36185736373940536, 0.36185736373940536, 0.3482480743811403, 0.29548799437995976, 0.29087891278214484, 0.2568009369663745, 0.10230464768174571, 0.023102310231023104], [0.0590935879302216, 0.05532178217821783, 0.05532178217821783, 0.04438943894389439, 0.039150165016501655, 0.039150165016501655, 0.039150165016501655, 0.039150165016501655, 0.03605610561056106, 0.0], [0.14751302724353546, 0.14751302724353546, 0.14751302724353546, 0.14751302724353546, 0.09270049995500099, 0.08447524785361255, 0.06021259597644091, 0.05333182386561638, 0.038549382888599416, 0.017174574600317176], [0.01485148514851485, 0.01485148514851485, 0.01485148514851485, 0.01485148514851485, 0.01485148514851485, 0.01485148514851485, 0.01485148514851485, 0.01485148514851485, 0.01485148514851485, 0.0], [0.060348892032060356, 0.060348892032060356, 0.060348892032060356, 0.060348892032060356, 0.060348892032060356, 0.060348892032060356, 0.060348892032060356, 0.039603960396039604, 0.039603960396039604, 0.0033003300330033004], [0.13194132443059903, 0.13194132443059903, 0.13194132443059903, 0.12018389868802476, 0.11245700644319347, 0.11245700644319347, 0.11245700644319347, 0.10341735228547685, 0.026854168933376853, 0.0], [0.08114382866858115, 0.08114382866858115, 0.08114382866858115, 0.08114382866858115, 0.08114382866858115, 0.08114382866858115, 0.08114382866858115, 0.08114382866858115, 0.07254296858257255, 0.004275427542754276]]",0.2253555004407343,0.2242387570621891,0.2209731737857869,0.1868654948886093,201,0.2688740351523951,0.32005780820618335,0.2412894196408415
424010610,9,0.1098771715037437,0.0851000041064164,0.591661102627299,0.1478129713423831,"[0, 1, 2, 3, 5, 6, 7, 8]","[[0.06608699331471608, 0.06608699331471608, 0.06608699331471608, 0.06608699331471608, 0.06064144876026065, 0.05797579757975797, 0.05797579757975797, 0.05797579757975797, 0.0407040704070407, 0.019801980198019802], [0.3724404113923876, 0.3724404113923876, 0.3724404113923876, 0.3724404113923876, 0.3724404113923876, 0.3461985162679172, 0.32559049236359716, 0.3039460508284641, 0.15210008419911009, 0.0030315888731730313], [0.08194962353378195, 0.08194962353378195, 0.08194962353378195, 0.07064956495649566, 0.06147114711471148, 0.06147114711471148, 0.06147114711471148, 0.06147114711471148, 0.048679867986798686, 0.0], [0.05333998946113099, 0.05333998946113099, 0.05333998946113099, 0.03629227488575188, 0.03338021897427838, 0.03338021897427838, 0.017934936350777933, 0.009203206034889205, 0.004092409240924092, 0.0], [0.019754832626119757, 0.019754832626119757, 0.019754832626119757, 0.019754832626119757, 0.019754832626119757, 0.019754832626119757, 0.019754832626119757, 0.019754832626119757, 0.019754832626119757, 0.011551155115511552], [0.06930693069306931, 0.06930693069306931, 0.06930693069306931, 0.06930693069306931, 0.06930693069306931, 0.06930693069306931, 0.04702970297029703, 0.039603960396039604, 0.039603960396039604, 0.019801980198019802], [0.19633661081072473, 0.19633661081072473, 0.19633661081072473, 0.19633661081072473, 0.18609812210998722, 0.17163564614592097, 0.14278006152929684, 0.13028505366373822, 0.08376148425653376, 0.019801980198019802], [0.019801980198019802, 0.019801980198019802, 0.019801980198019802, 0.019801980198019802, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.2176558950503545,0.2523350014409607,0.2172012728528695,0.1782354870565381,201,0.4739765567466362,0.5305414921516132,9.450339314328069e-06
